FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,team
41.0,85.0,7.0,27.0,13.0,18.0,102.0,21.0,23.0,44.0,28.0,14.0,24.0,2.0,9.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,64.0,1.0,17.0,12.0,18.0,83.0,6.0,20.0,26.0,23.0,13.0,20.0,5.0,16.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,62.0,11.0,28.0,11.0,14.0,74.0,11.0,26.0,37.0,16.0,8.0,6.0,5.0,9.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32.0,64.0,5.0,19.0,7.0,13.0,76.0,13.0,26.0,39.0,17.0,14.0,17.0,4.0,11.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.0,62.0,6.0,25.0,14.0,17.0,74.0,10.0,33.0,43.0,15.0,13.0,7.0,4.0,16.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,54.0,6.0,17.0,15.0,19.0,77.0,4.0,35.0,39.0,20.0,13.0,9.0,6.0,8.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
